chart_id,category,label,value,unit,source,confidence
security_comparison,published_cves,OpenClaw,3,count,SecurityScorecard Feb 2026,CONFIRMED
security_comparison,vulnerabilities,Clawdia,0,count,Source code inspection,CONFIRMED
security_comparison,exposed_instances,Clawdia,0,count,Local-first architecture,CONFIRMED
mcp_ecosystem,adoption,Active public MCP servers,10000,count,Anthropic Dec 2025,CONFIRMED
mcp_ecosystem,adoption,Claude enterprise connectors,75,count,Anthropic Dec 2025,CONFIRMED
mcp_ecosystem,platforms,ChatGPT MCP adoption,1,boolean,Anthropic Dec 2025,CONFIRMED
mcp_ecosystem,platforms,Cursor MCP adoption,1,boolean,Anthropic Dec 2025,CONFIRMED
mcp_ecosystem,platforms,Gemini MCP adoption,1,boolean,Anthropic Dec 2025,CONFIRMED
mcp_ecosystem,platforms,VS Code MCP adoption,1,boolean,Anthropic Dec 2025,CONFIRMED
mcp_ecosystem,platforms,Copilot MCP adoption,1,boolean,Anthropic Dec 2025,CONFIRMED
enterprise_deals,anthropic,Snowflake partnership,200,million_usd,Anthropic Dec 2025,CONFIRMED
enterprise_deals,anthropic,Accenture multi-year partnership,0,undisclosed,Anthropic Dec 2025,CONFIRMED
enterprise_deals,anthropic,ServiceNow default model,0,undisclosed,Forbes Feb 2026,CONFIRMED
radar_scores,reasoning_depth,OpenClaw,3,score_1to5,Report analysis,INFERRED
radar_scores,reasoning_depth,LangChain,3,score_1to5,Report analysis,INFERRED
radar_scores,reasoning_depth,n8n/Make,2,score_1to5,Report analysis,INFERRED
radar_scores,reasoning_depth,Clawdia,5,score_1to5,Report analysis,INFERRED
radar_scores,ecosystem_integration,OpenClaw,4,score_1to5,Report analysis,INFERRED
radar_scores,ecosystem_integration,LangChain,5,score_1to5,Report analysis,INFERRED
radar_scores,ecosystem_integration,n8n/Make,5,score_1to5,Report analysis,INFERRED
radar_scores,ecosystem_integration,Clawdia,3,score_1to5,Report analysis,INFERRED
radar_scores,autonomy,OpenClaw,4,score_1to5,Report analysis,INFERRED
radar_scores,autonomy,LangChain,3,score_1to5,Report analysis,INFERRED
radar_scores,autonomy,n8n/Make,2,score_1to5,Report analysis,INFERRED
radar_scores,autonomy,Clawdia,5,score_1to5,Report analysis,INFERRED
radar_scores,security_model,OpenClaw,1,score_1to5,Report analysis,CONFIRMED
radar_scores,security_model,LangChain,2,score_1to5,Report analysis,INFERRED
radar_scores,security_model,n8n/Make,3,score_1to5,Report analysis,INFERRED
radar_scores,security_model,Clawdia,5,score_1to5,Report analysis,CONFIRMED
radar_scores,distribution,OpenClaw,5,score_1to5,Report analysis,CONFIRMED
radar_scores,distribution,LangChain,4,score_1to5,Report analysis,CONFIRMED
radar_scores,distribution,n8n/Make,4,score_1to5,Report analysis,INFERRED
radar_scores,distribution,Clawdia,1,score_1to5,Report analysis,CONFIRMED
radar_scores,developer_control,OpenClaw,3,score_1to5,Report analysis,INFERRED
radar_scores,developer_control,LangChain,4,score_1to5,Report analysis,INFERRED
radar_scores,developer_control,n8n/Make,2,score_1to5,Report analysis,INFERRED
radar_scores,developer_control,Clawdia,5,score_1to5,Report analysis,CONFIRMED
market_size,total_ai_market,2026,2.02,trillion_usd,Industry consensus,CONFIRMED
market_size,openclaw_monthly_cost,2026,15000,usd,Yahoo Finance Feb 2026,CONFIRMED
context_windows,model_comparison,Claude Opus 4.6,200000,tokens,Anthropic Feb 2026,CONFIRMED
context_windows,model_comparison,Claude Sonnet 4.5,200000,tokens,Anthropic Feb 2026,CONFIRMED
context_windows,model_comparison,GPT-5,256000,tokens,OpenAI 2026,INFERRED
context_windows,model_comparison,GPT-4.1,128000,tokens,OpenAI 2025,CONFIRMED
context_windows,model_comparison,Gemini 3.0 Ultra,1000000,tokens,Google 2026,INFERRED
max_output,model_comparison,Claude Opus 4.6,128000,tokens,Anthropic Feb 2026,CONFIRMED
max_output,model_comparison,Claude Sonnet 4.5,64000,tokens,Anthropic Feb 2026,CONFIRMED
failure_scenarios,probability,OpenClaw security resolved,50,percent,Report analysis,SPECULATIVE
failure_scenarios,probability,Anthropic loses framework race,50,percent,Report analysis,SPECULATIVE
failure_scenarios,probability,Regulatory pressure hits agents,30,percent,Report analysis,SPECULATIVE
failure_scenarios,probability,Agent frameworks commoditize,70,percent,Report analysis,SPECULATIVE
failure_scenarios,probability,Local-first never scales,50,percent,Report analysis,SPECULATIVE
failure_scenarios,probability,Inference costs collapse,60,percent,Report analysis,SPECULATIVE
